Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
PA1107,NaN,NaN,8.69E-17,NaN,6.03E-17,1.08E-17,6.03E-17,6.03E-17,1.08E-17,1.08E-17,0.00E+00,1.08E-17,6.03E-17
PA1108,NaN,3.46E-17,2.21E-17,8.13E-17,2.18E-17,1.00E-17,2.18E-17,2.18E-17,1.00E-17,1.00E-17,0.00E+00,1.00E-17,2.18E-17
PA1109,NaN,NaN,9.74E-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1110,5.19E-17,5.06E-17,2.95E-17,1.16E-16,3.40E-17,1.56E-17,3.40E-17,3.40E-17,1.56E-17,1.56E-17,0.00E+00,1.56E-17,3.40E-17
PA1111,NaN,NaN,2.81E-17,6.17E-17,1.45E-17,2.86E-18,1.45E-17,1.45E-17,2.86E-18,2.86E-18,0.00E+00,2.86E-18,1.45E-17
PA1112,6.14E-17,6.85E-17,6.13E-17,1.63E-16,4.20E-17,1.45E-17,4.20E-17,4.20E-17,1.45E-17,1.45E-17,0.00E+00,1.45E-17,4.20E-17
PA1113,NaN,NaN,5.69E-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1114,NaN,NaN,2.29E-17,6.24E-17,1.47E-17,5.42E-18,1.47E-17,1.47E-17,5.42E-18,5.42E-18,0.00E+00,5.42E-18,1.47E-17
PA1201,1.93E-15,1.56E-15,1.03E-15,2.48E-15,8.34E-16,2.76E-16,8.34E-16,8.34E-16,2.76E-16,2.76E-16,0.00E+00,2.76E-16,8.34E-16
PA1202,7.60E-16,5.53E-16,3.76E-16,1.02E-15,3.23E-16,1.06E-16,3.23E-16,3.23E-16,1.06E-16,1.06E-16,0.00E+00,1.06E-16,3.23E-16
PA1203,6.18E-14,5.96E-14,4.29E-14,9.58E-14,2.94E-14,1.29E-14,2.94E-14,2.94E-14,1.29E-14,1.29E-14,0.00E+00,1.29E-14,2.94E-14
PA1204,6.60E-15,6.68E-15,4.43E-15,1.20E-14,3.99E-15,1.62E-15,3.99E-15,3.99E-15,1.62E-15,1.62E-15,0.00E+00,1.62E-15,3.99E-15
PA1205,9.63E-15,6.23E-15,6.52E-15,1.40E-14,3.18E-15,1.34E-15,3.18E-15,3.18E-15,1.34E-15,1.34E-15,0.00E+00,1.34E-15,3.18E-15
PA1206,1.15E-14,8.65E-15,5.50E-15,1.56E-14,4.54E-15,2.70E-15,4.54E-15,4.54E-15,2.70E-15,2.70E-15,0.00E+00,2.70E-15,4.54E-15
PA1207,3.59E-15,2.84E-15,1.89E-15,4.65E-15,1.37E-15,4.97E-16,1.37E-15,1.37E-15,4.97E-16,4.97E-16,0.00E+00,4.97E-16,1.37E-15
PA1208,1.73E-15,1.48E-15,8.04E-16,2.18E-15,7.02E-16,2.78E-16,7.02E-16,7.02E-16,2.78E-16,2.78E-16,0.00E+00,2.78E-16,7.02E-16
PA1209,8.38E-16,7.19E-16,3.55E-16,1.13E-15,3.51E-16,1.14E-16,3.51E-16,3.51E-16,1.14E-16,1.14E-16,0.00E+00,1.14E-16,3.51E-16
PA1210,2.18E-15,1.65E-15,1.04E-15,2.75E-15,9.05E-16,3.18E-16,9.05E-16,9.05E-16,3.18E-16,3.18E-16,0.00E+00,3.18E-16,9.05E-16
PA1211,1.04E-15,7.46E-16,4.23E-16,1.35E-15,4.41E-16,1.85E-16,4.41E-16,4.41E-16,1.85E-16,1.85E-16,0.00E+00,1.85E-16,4.41E-16
PA1212,2.81E-15,1.79E-15,1.91E-15,3.98E-15,8.73E-16,3.54E-16,8.73E-16,8.73E-16,3.54E-16,3.54E-16,0.00E+00,3.54E-16,8.73E-16
PA1213,9.97E-16,7.39E-16,8.68E-16,1.71E-15,3.47E-16,1.45E-16,3.47E-16,3.47E-16,1.45E-16,1.45E-16,0.00E+00,1.45E-16,3.47E-16
PA1214,2.24E-15,1.91E-15,1.37E-15,3.11E-15,8.54E-16,3.30E-16,8.54E-16,8.54E-16,3.30E-16,3.30E-16,0.00E+00,3.30E-16,8.54E-16
PA1215,1.00E-15,7.70E-16,4.23E-16,1.33E-15,4.56E-16,1.94E-16,4.56E-16,4.56E-16,1.94E-16,1.94E-16,0.00E+00,1.94E-16,4.56E-16
PA1216,2.16E-15,1.85E-15,9.25E-16,2.79E-15,8.56E-16,4.07E-16,8.56E-16,8.56E-16,4.07E-16,4.07E-16,0.00E+00,4.07E-16,8.56E-16
PA1217,9.11E-16,5.31E-16,4.75E-16,1.33E-15,2.51E-16,1.54E-16,2.51E-16,2.51E-16,1.54E-16,1.54E-16,0.00E+00,1.54E-16,2.51E-16
PA1218,1.25E-15,9.08E-16,5.51E-16,1.73E-15,4.45E-16,2.37E-16,4.45E-16,4.45E-16,2.37E-16,2.37E-16,0.00E+00,2.37E-16,4.45E-16
PA1219,1.19E-15,1.01E-15,5.58E-16,1.57E-15,4.99E-16,1.85E-16,4.99E-16,4.99E-16,1.85E-16,1.85E-16,0.00E+00,1.85E-16,4.99E-16
PA1220,4.50E-15,3.43E-15,2.52E-15,5.87E-15,1.84E-15,6.54E-16,1.84E-15,1.84E-15,6.54E-16,6.54E-16,0.00E+00,6.54E-16,1.84E-15
PA1221,8.99E-16,6.62E-16,4.39E-16,1.30E-15,3.51E-16,1.46E-16,3.51E-16,3.51E-16,1.46E-16,1.46E-16,0.00E+00,1.46E-16,3.51E-16
PA1222,3.45E-15,2.67E-15,1.79E-15,4.48E-15,1.61E-15,5.58E-16,1.61E-15,1.61E-15,5.58E-16,5.58E-16,0.00E+00,5.58E-16,1.61E-15
PA1301,2.03E-16,2.06E-16,2.30E-16,5.43E-16,1.12E-16,2.59E-17,1.12E-16,1.12E-16,2.59E-17,2.59E-17,0.00E+00,2.59E-17,1.12E-16
PA1302,1.28E-16,5.74E-17,1.56E-16,2.63E-16,3.86E-17,1.15E-17,3.86E-17,3.86E-17,1.15E-17,1.15E-17,0.00E+00,1.15E-17,3.86E-17
PA1303,1.93E-16,1.68E-16,1.66E-16,3.11E-16,7.55E-17,3.10E-17,7.55E-17,7.55E-17,3.10E-17,3.10E-17,0.00E+00,3.10E-17,7.55E-17
PA1304,NaN,NaN,3.89E-16,7.27E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1305,9.87E-16,4.00E-16,5.66E-16,1.46E-15,2.12E-16,1.01E-16,2.12E-16,2.12E-16,1.01E-16,1.01E-16,0.00E+00,1.01E-16,2.12E-16
PA1306,2.69E-16,1.15E-16,2.34E-16,5.26E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1307,4.40E-16,3.11E-16,3.39E-16,7.64E-16,1.68E-16,6.21E-17,1.68E-16,1.68E-16,6.21E-17,6.21E-17,0.00E+00,6.21E-17,1.68E-16
PA1308,1.07E-16,5.71E-17,1.17E-16,2.19E-16,3.76E-17,1.12E-17,3.76E-17,3.76E-17,1.12E-17,1.12E-17,0.00E+00,1.12E-17,3.76E-17
PA1309,4.20E-16,2.88E-16,3.42E-16,7.65E-16,1.82E-16,4.45E-17,1.82E-16,1.82E-16,4.45E-17,4.45E-17,0.00E+00,4.45E-17,1.82E-16
PA1310,1.79E-16,6.56E-17,2.18E-16,3.70E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1311,1.40E-16,9.09E-17,9.92E-17,2.72E-16,5.36E-17,1.75E-17,5.36E-17,5.36E-17,1.75E-17,1.75E-17,0.00E+00,1.75E-17,5.36E-17
PA1312,1.12E-16,8.50E-17,1.20E-16,2.33E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1313,4.10E-16,3.45E-16,3.32E-16,6.34E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1314,1.38E-16,5.50E-17,1.57E-16,3.13E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1315,1.52E-16,7.10E-17,1.91E-16,NaN,4.76E-17,1.38E-17,4.76E-17,4.76E-17,1.38E-17,1.38E-17,0.00E+00,1.38E-17,4.76E-17
PA1316,1.75E-16,1.08E-16,2.20E-16,NaN,6.75E-17,1.82E-17,6.75E-17,6.75E-17,1.82E-17,1.82E-17,0.00E+00,1.82E-17,6.75E-17
PA1317,1.99E-16,7.45E-17,2.19E-16,3.87E-16,5.04E-17,1.88E-17,5.04E-17,5.04E-17,1.88E-17,1.88E-17,0.00E+00,1.88E-17,5.04E-17
PA1318,1.54E-16,7.21E-17,1.79E-16,3.52E-16,4.55E-17,1.47E-17,4.55E-17,4.55E-17,1.47E-17,1.47E-17,0.00E+00,1.47E-17,4.55E-17
PA1319,1.70E-15,1.39E-15,1.14E-15,2.33E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1320,8.46E-16,7.03E-16,6.32E-16,1.24E-15,3.04E-16,1.31E-16,3.04E-16,3.04E-16,1.31E-16,1.31E-16,0.00E+00,1.31E-16,3.04E-16
PA1321,1.73E-16,1.24E-16,1.73E-16,2.97E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1322,3.30E-16,1.53E-16,2.31E-16,6.20E-16,8.77E-17,3.54E-17,8.77E-17,8.77E-17,3.54E-17,3.54E-17,0.00E+00,3.54E-17,8.77E-17
PA1323,2.00E-16,2.12E-16,1.72E-16,3.55E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1324,9.89E-17,4.89E-17,1.37E-16,2.25E-16,3.30E-17,9.61E-18,3.30E-17,3.30E-17,9.61E-18,9.61E-18,0.00E+00,9.61E-18,3.30E-17
PA1325,3.63E-16,3.40E-16,3.06E-16,5.86E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1326,2.38E-16,1.89E-16,2.01E-16,3.84E-16,9.47E-17,3.38E-17,9.47E-17,9.47E-17,3.38E-17,3.38E-17,0.00E+00,3.38E-17,9.47E-17
PA1327,3.40E-17,2.48E-17,3.68E-17,6.27E-17,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1328,4.38E-16,4.04E-16,3.81E-16,7.55E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1329,9.29E-17,6.74E-17,1.02E-16,1.72E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1330,1.19E-16,8.81E-17,1.30E-16,2.40E-16,4.80E-17,1.50E-17,4.80E-17,4.80E-17,1.50E-17,1.50E-17,0.00E+00,1.50E-17,4.80E-17
PA1331,2.85E-17,2.20E-17,3.48E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1332,5.11E-16,4.65E-16,4.19E-16,7.80E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
PA1333,NaN,NaN,3.37E-16,6.18E-16,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
